observation_date,StateName,Real_PerCap,year,month,day
2018-01-01,VA,54027,2018,1,1
2019-01-01,VA,56458,2019,1,1
2020-01-01,VA,58253,2020,1,1
2021-01-01,VA,60190,2021,1,1
2022-01-01,VA,58889,2022,1,1
2023-01-01,VA,60869,2023,1,1
2008-01-01,WA,47357,2008,1,1
2009-01-01,WA,44859,2009,1,1
2010-01-01,WA,45638,2010,1,1
2011-01-01,WA,46296,2011,1,1
2012-01-01,WA,48620,2012,1,1
2013-01-01,WA,48415,2013,1,1
2014-01-01,WA,49888,2014,1,1
2015-01-01,WA,51706,2015,1,1
2016-01-01,WA,52449,2016,1,1
2017-01-01,WA,52986,2017,1,1
2018-01-01,WA,54838,2018,1,1
2019-01-01,WA,56858,2019,1,1
2020-01-01,WA,60091,2020,1,1
2021-01-01,WA,62272,2021,1,1
2022-01-01,WA,59296,2022,1,1
2023-01-01,WA,61911,2023,1,1
2008-01-01,WV,40351,2008,1,1
2009-01-01,WV,41150,2009,1,1
2010-01-01,WV,40655,2010,1,1
2011-01-01,WV,41705,2011,1,1
2012-01-01,WV,41807,2012,1,1
2013-01-01,WV,40671,2013,1,1
2014-01-01,WV,41594,2014,1,1
2015-01-01,WV,42150,2015,1,1
2016-01-01,WV,42099,2016,1,1
2017-01-01,WV,43732,2017,1,1
2018-01-01,WV,45021,2018,1,1
2019-01-01,WV,46595,2019,1,1
2020-01-01,WV,49233,2020,1,1
2021-01-01,WV,49311,2021,1,1
2022-01-01,WV,48479,2022,1,1
2023-01-01,WV,48869,2023,1,1
2008-01-01,WI,46757,2008,1,1
2009-01-01,WI,45576,2009,1,1
2010-01-01,WI,45542,2010,1,1
2011-01-01,WI,47257,2011,1,1
2012-01-01,WI,47867,2012,1,1
2013-01-01,WI,47515,2013,1,1
2014-01-01,WI,48515,2014,1,1
2015-01-01,WI,50670,2015,1,1
2016-01-01,WI,50958,2016,1,1
2017-01-01,WI,51768,2017,1,1
2018-01-01,WI,52802,2018,1,1
2019-01-01,WI,53655,2019,1,1
2020-01-01,WI,57326,2020,1,1
2021-01-01,WI,59596,2021,1,1
2022-01-01,WI,57831,2022,1,1
2023-01-01,WI,57962,2023,1,1
2008-01-01,WY,58234,2008,1,1
2009-01-01,WY,51850,2009,1,1
2010-01-01,WY,53752,2010,1,1
2011-01-01,WY,55956,2011,1,1
2012-01-01,WY,58962,2012,1,1
2013-01-01,WY,56737,2013,1,1
2014-01-01,WY,59526,2014,1,1
2015-01-01,WY,59579,2015,1,1
2016-01-01,WY,55723,2016,1,1
2017-01-01,WY,58147,2017,1,1
2018-01-01,WY,62947,2018,1,1
2019-01-01,WY,63607,2019,1,1
2020-01-01,WY,67929,2020,1,1
2021-01-01,WY,71298,2021,1,1
2022-01-01,WY,71818,2022,1,1
2023-01-01,WY,75015,2023,1,1
