SizeRank,StateName,Avg_House_Price,year,month,import_of_goods,export_of_goods,gdp_of_goods,Real_PerCap,house_ownership,PPI_Lumber_of_goods,CPI_of_goods,NASDAQ_Index,Fed_Interest_Rate,PPI_ALL_Index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,MORTGAGE,population
43.0,MT,215706.0,2008,1.0,375.9,105.4,42475.5,42420.0,70.3,163.7,212.174,2418.09380952381,3.94,181.0,0.256,0.095,0.106,0.279,0.127,0.137,5.758,976415
9.0,NC,174082.0,2008,1.0,4056.0,1924.7,495030.3,45877.0,69.4,163.7,212.174,2418.09380952381,3.94,181.0,0.261,0.085,0.119,0.295,0.117,0.123,5.758,9309449
47.0,ND,165506.0,2008,1.0,239.3,242.8,34535.4,53507.0,66.6,163.7,212.174,2418.09380952381,3.94,181.0,0.235,0.12,0.115,0.265,0.128,0.137,5.758,657569
37.0,NE,127830.0,2008,1.0,264.7,392.3,100655.9,50465.0,69.6,163.7,212.174,2418.09380952381,3.94,181.0,0.272,0.092,0.118,0.278,0.111,0.128,5.758,1796378
41.0,NH,255256.0,2008,1.0,942.7,311.2,72142.1,48279.0,75.0,163.7,212.174,2418.09380952381,3.94,181.0,0.237,0.08,0.106,0.324,0.129,0.124,5.758,1315906
10.0,NJ,379365.0,2008,1.0,10369.8,2741.8,578686.9,53849.0,67.3,163.7,212.174,2418.09380952381,3.94,181.0,0.252,0.085,0.11,0.311,0.113,0.129,5.758,8711090
35.0,NM,198319.0,2008,1.0,134.0,256.0,87745.8,39593.0,70.4,163.7,212.174,2418.09380952381,3.94,181.0,0.271,0.097,0.116,0.27,0.115,0.132,5.758,2010662
34.0,NV,298799.0,2008,1.0,515.3,401.0,155910.3,42848.0,63.6,163.7,212.174,2418.09380952381,3.94,181.0,0.27,0.085,0.128,0.288,0.113,0.115,5.758,2653630
2.0,NY,289335.0,2008,1.0,10419.0,6067.5,1338711.4,48246.0,55.0,163.7,212.174,2418.09380952381,3.94,181.0,0.243,0.095,0.116,0.299,0.116,0.131,5.758,19212436
6.0,OH,130246.0,2008,1.0,4560.5,3330.2,588461.0,44451.0,70.8,163.7,212.174,2418.09380952381,3.94,181.0,0.254,0.087,0.114,0.292,0.119,0.134,5.758,11515391
27.0,OK,104629.0,2008,1.0,671.8,329.1,154733.5,49104.0,70.4,163.7,212.174,2418.09380952381,3.94,181.0,0.268,0.095,0.12,0.27,0.115,0.133,5.758,3668976
26.0,OR,285491.0,2008,1.0,1520.3,1553.9,185597.6,42239.0,66.2,163.7,212.174,2418.09380952381,3.94,181.0,0.243,0.09,0.124,0.285,0.126,0.132,5.758,3768748
5.0,PA,177679.0,2008,1.0,6725.2,2540.8,660225.1,46902.0,72.6,163.7,212.174,2418.09380952381,3.94,181.0,0.238,0.086,0.105,0.299,0.123,0.149,5.758,12612285
42.0,RI,301197.0,2008,1.0,443.4,122.3,55482.9,44835.0,64.5,163.7,212.174,2418.09380952381,3.94,181.0,0.231,0.098,0.107,0.307,0.119,0.139,5.758,1055003
23.0,SC,167490.0,2008,1.0,2306.9,1279.8,194226.9,40425.0,73.9,163.7,212.174,2418.09380952381,3.94,181.0,0.256,0.089,0.111,0.286,0.125,0.133,5.758,4528996
16.0,TN,145657.0,2008,1.0,4534.4,1751.5,300121.1,42800.0,71.7,163.7,212.174,2418.09380952381,3.94,181.0,0.251,0.086,0.119,0.294,0.121,0.129,5.758,6247411
1.0,TX,143090.0,2008,1.0,22955.5,15190.5,1284436.7,46111.0,65.5,163.7,212.174,2418.09380952381,3.94,181.0,0.296,0.097,0.128,0.281,0.099,0.1,5.758,24309039
33.0,UT,257927.0,2008,1.0,461.6,1024.4,133257.1,39101.0,76.2,163.7,212.174,2418.09380952381,3.94,181.0,0.329,0.123,0.141,0.235,0.083,0.089,5.758,2663029
