StateName,year,month,import_of_goods_rel,export_of_goods_rel,gdp_of_goods_rel,Real_PerCap_rel,house_ownership_rel,PPI_Lumber_of_goods_rel,CPI_of_goods_rel,NASDAQ_Index_rel,Fed_Interest_Rate_rel,PPI_ALL_Index_rel,Children 0-18_rel,Adults 19-25_rel,Adults 26-34_rel,Adults 35-54_rel,Adults 55-64_rel,Adults 65+_rel,MORTGAGE_rel,Avg_House_Price_rel
NJ,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NM,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NV,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NY,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OH,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OK,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PA,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RI,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TN,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TX,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UT,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VA,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VT,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WA,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WI,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WV,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WY,2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AK,2008,2.0,0.8859342197340797,2.763132760267431,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.000201369311317
AL,2008,2.0,0.9888775749980417,1.1695675578682936,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9980585492624016
AR,2008,2.0,1.050135746606335,0.7502554669936644,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0001906716180757
AZ,2008,2.0,1.0356206293706294,1.076737160120846,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9798877683799609
CA,2008,2.0,0.9419453373350619,1.02443837005123,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9802085257564106
CO,2008,2.0,0.9450386891215294,0.9231528714826394,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9957518393157543
CT,2008,2.0,0.773542159180457,0.9670656141244377,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9916463393191112
DC,2008,2.0,1.0116883116883117,0.6479007633587787,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9944358132877142
DE,2008,2.0,1.1081258191349934,0.8718669477629422,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9942870301329005
FL,2008,2.0,0.9999327580410176,1.0554627641241814,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9826389471740553
GA,2008,2.0,1.0689263065821124,1.1135773558010489,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.995398790872133
HI,2008,2.0,1.382383966244726,9.089430894308942,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.996614299406655
IA,2008,2.0,1.0319807862469978,0.9877529839128179,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0003362124862913
ID,2008,2.0,1.0150795867076234,0.9963252181901701,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0039733608663102
IL,2008,2.0,1.041323648103309,1.028983334582615,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9903402152551942
IN,2008,2.0,0.9256502467174039,1.1042960144201883,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9999591068945776
KS,2008,2.0,1.0942200124300807,1.3548132264981378,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,1.0001626029479915
KY,2008,2.0,1.153973745320127,1.1553503530689841,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9993860269977572
LA,2008,2.0,0.999956617934146,1.160263637152025,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9990926952173942
MA,2008,2.0,0.9252582090104764,1.0483548050139275,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9932341917270437
MD,2008,2.0,0.9738532110091742,0.9874369040942231,1.0,1.0,1.0,0.9890042761148443,1.0024178268779398,0.9618425434280483,0.7563451776649747,1.00939226519337,1.0,1.0,1.0,1.0,1.0,1.0,1.0277005904828067,0.9937991739922937
